Id,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,SalePrice
42,TA,TA,Gd,BLQ,967,Unf,0,383,1350,0,1,1,1,2,1,TA,5,Attchd,1959.0,RFn,1,308,TA,TA,170000
43,Gd,TA,Av,ALQ,747,LwQ,93,0,840,1,0,1,0,2,1,Gd,5,Attchd,1983.0,RFn,2,504,TA,Gd,144000
44,Gd,TA,Av,LwQ,280,BLQ,491,167,938,1,0,1,0,3,1,TA,5,Detchd,1977.0,Unf,1,308,TA,TA,130250
45,TA,TA,No,ALQ,179,BLQ,506,465,1150,1,0,1,0,3,1,TA,6,Attchd,1959.0,RFn,1,300,TA,TA,141000
46,Ex,TA,No,GLQ,456,Unf,0,1296,1752,1,0,2,0,2,1,Ex,6,Attchd,2005.0,RFn,2,576,TA,TA,319900
47,Ex,TA,No,GLQ,1351,Unf,0,83,1434,1,0,1,1,1,1,Gd,6,Attchd,2003.0,RFn,2,670,TA,TA,239686
48,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,0,0,2,0,3,1,Gd,7,Attchd,2006.0,RFn,3,826,TA,TA,249700
49,TA,TA,No,Unf,0,Unf,0,736,736,0,0,2,0,2,3,TA,8,,,,0,0,,,113000
50,TA,TA,No,BLQ,763,Unf,0,192,955,1,0,1,0,3,1,TA,6,Attchd,1966.0,Unf,1,386,TA,TA,127000
51,Gd,TA,Av,GLQ,182,Unf,0,612,794,0,1,2,0,3,1,TA,6,Attchd,1997.0,Fin,2,388,TA,TA,177000
52,TA,TA,No,Unf,0,Unf,0,816,816,0,0,1,0,3,1,TA,6,Detchd,1985.0,Unf,2,528,TA,TA,114500
53,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,1,0,1,0,2,1,TA,5,CarPort,1963.0,Unf,2,516,TA,TA,110000
54,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,2,0,0,1,0,1,Gd,5,Attchd,1981.0,Fin,3,894,TA,TA,385000
55,TA,TA,No,ALQ,384,Unf,0,0,384,0,0,1,0,3,1,TA,6,Detchd,1962.0,Unf,2,572,TA,TA,130000
56,TA,TA,No,BLQ,490,Unf,0,935,1425,0,0,2,0,3,1,TA,7,Attchd,1964.0,RFn,2,576,TA,TA,180500
57,Gd,TA,No,GLQ,649,Unf,0,321,970,1,0,2,1,3,1,Gd,7,Attchd,1999.0,Fin,2,480,TA,TA,172500
58,Gd,TA,No,Unf,0,Unf,0,860,860,0,0,2,1,3,1,Gd,7,Attchd,2004.0,RFn,2,565,TA,TA,196500
59,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,0,0,3,1,3,1,Gd,10,BuiltIn,2006.0,Fin,3,641,TA,TA,438780
60,TA,TA,Av,ALQ,632,Unf,0,148,780,0,0,1,0,2,1,TA,4,Detchd,1973.0,Unf,1,352,TA,TA,124900
61,Gd,TA,No,ALQ,941,Unf,0,217,1158,1,0,1,1,3,1,Gd,5,Detchd,2006.0,Unf,2,576,TA,TA,158000
62,TA,Fa,No,Unf,0,Unf,0,530,530,0,0,1,0,3,1,Fa,6,Detchd,1935.0,Unf,1,288,TA,TA,101000
63,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,0,0,2,0,2,1,Gd,6,Attchd,2006.0,RFn,2,484,TA,TA,202500
64,TA,TA,No,Unf,0,Unf,0,576,576,0,0,2,0,3,1,TA,9,Detchd,1990.0,Unf,2,480,TA,TA,140000
65,Gd,TA,No,GLQ,739,Unf,0,318,1057,1,0,2,1,3,1,Gd,8,Attchd,1998.0,RFn,2,645,TA,TA,219500
66,Ex,TA,Av,Unf,0,Unf,0,1143,1143,0,0,2,1,4,1,Gd,9,BuiltIn,2004.0,RFn,3,852,TA,TA,317000
67,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,1,0,2,0,3,1,TA,7,Attchd,1970.0,RFn,2,576,TA,TA,180000
68,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,1,0,2,0,3,1,Gd,7,Attchd,2003.0,RFn,2,558,TA,TA,226000
69,TA,TA,No,Unf,0,Unf,0,747,747,0,0,1,0,2,1,TA,4,Attchd,1945.0,Unf,1,220,TA,TA,80000
70,TA,TA,No,BLQ,603,Unf,0,701,1304,0,0,2,0,3,1,TA,7,Attchd,1953.0,Fin,2,667,TA,TA,225000
71,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,1,0,2,0,3,1,TA,8,Attchd,1973.0,Fin,2,516,TA,TA,244000
72,TA,TA,No,ALQ,565,Unf,0,280,845,1,0,1,0,2,1,TA,4,Detchd,1987.0,Unf,2,360,TA,TA,129500
73,Gd,TA,No,Unf,0,Unf,0,832,832,0,0,2,1,3,1,TA,7,Attchd,1998.0,Fin,2,427,TA,TA,185000
74,TA,TA,No,ALQ,320,BLQ,362,404,1086,1,0,1,0,3,1,TA,6,Attchd,1989.0,Unf,2,490,TA,TA,144900
75,Fa,TA,No,Unf,0,Unf,0,840,840,0,0,2,0,3,2,TA,8,Detchd,1915.0,Unf,1,379,TA,TA,107400
76,Gd,TA,Gd,GLQ,462,Unf,0,0,462,1,0,1,0,2,1,TA,5,BuiltIn,1973.0,Unf,1,297,TA,TA,91000
77,TA,TA,No,ALQ,228,Unf,0,724,952,0,0,1,0,2,1,TA,4,Detchd,1956.0,Unf,1,283,TA,TA,135750
78,TA,TA,No,BLQ,336,GLQ,41,295,672,1,0,1,0,2,1,TA,6,Detchd,1948.0,Unf,1,240,TA,TA,127000
79,TA,TA,No,Unf,0,Unf,0,1768,1768,0,0,2,0,4,2,TA,8,,,,0,0,,,136500
80,TA,TA,No,Unf,0,Unf,0,440,440,0,0,1,1,2,1,TA,5,Detchd,1966.0,Unf,2,440,TA,TA,110000
81,Gd,TA,No,Rec,448,Unf,0,448,896,0,0,2,1,4,1,Gd,8,Attchd,1968.0,Fin,1,509,TA,TA,193500
82,Ex,Gd,No,GLQ,1201,Unf,0,36,1237,1,0,2,0,2,1,TA,5,Attchd,1998.0,Fin,2,405,TA,TA,153500
83,Gd,TA,No,GLQ,33,Unf,0,1530,1563,0,0,2,0,3,1,Gd,6,Attchd,2007.0,RFn,3,758,TA,TA,245000
84,TA,TA,No,Unf,0,Unf,0,1065,1065,0,0,1,1,3,1,TA,6,Detchd,1974.0,Unf,2,461,TA,TA,126500
85,Gd,TA,No,Unf,0,Unf,0,384,384,0,0,2,1,3,1,TA,7,BuiltIn,1995.0,Fin,2,400,TA,TA,168500
86,Gd,TA,No,Unf,0,Unf,0,1288,1288,0,0,2,1,4,1,Gd,9,Attchd,1991.0,Unf,2,462,TA,TA,260000
87,Gd,TA,Av,Unf,0,Unf,0,684,684,0,0,2,1,3,1,Gd,6,BuiltIn,2005.0,Fin,2,400,TA,TA,174000
88,Gd,TA,Av,Unf,0,Unf,0,612,612,0,0,2,1,2,1,Gd,4,Detchd,2009.0,RFn,2,528,TA,TA,164500
89,TA,Fa,No,Unf,0,Unf,0,1013,1013,0,0,1,0,2,1,Fa,6,,,,0,0,,,85000
90,Gd,TA,No,GLQ,588,Unf,0,402,990,1,0,1,0,3,1,TA,5,,,,0,0,,,123600
91,,,,,0,,0,0,0,0,0,1,0,2,1,TA,4,Detchd,1950.0,Unf,2,420,TA,TA,109900
92,TA,TA,No,Rec,600,Unf,0,635,1235,0,0,1,0,2,1,TA,6,Attchd,1961.0,Unf,2,480,TA,TA,98600
93,Gd,TA,No,ALQ,713,Unf,0,163,876,1,0,1,0,2,1,TA,5,Detchd,1921.0,Unf,2,432,TA,TA,163500
94,TA,Fa,Mn,Rec,1046,Unf,0,168,1214,0,1,2,0,4,2,TA,9,Detchd,1900.0,Unf,2,506,TA,TA,133900
95,Gd,TA,No,GLQ,648,Unf,0,176,824,1,0,2,1,3,1,Gd,7,Attchd,1997.0,RFn,2,684,TA,TA,204750
96,Gd,Gd,No,ALQ,310,Unf,0,370,680,0,0,2,1,3,1,TA,6,BuiltIn,1993.0,Fin,2,420,TA,TA,185000
97,Gd,TA,Av,ALQ,1162,Unf,0,426,1588,0,0,2,0,3,1,Gd,6,Attchd,1999.0,RFn,2,472,TA,TA,214000
98,TA,TA,No,Rec,520,Unf,0,440,960,1,0,1,0,3,1,TA,6,Attchd,1965.0,Fin,1,432,TA,TA,94750
99,TA,TA,No,ALQ,108,Unf,0,350,458,0,0,1,0,2,1,TA,5,Basment,1920.0,Unf,1,366,Fa,TA,83000
100,TA,TA,No,ALQ,569,Unf,0,381,950,1,0,1,1,3,1,TA,6,,,,0,0,,,128950
101,TA,TA,Mn,ALQ,1200,Unf,0,410,1610,1,0,2,0,3,1,Gd,6,Attchd,1977.0,RFn,2,480,TA,TA,205000
102,Gd,TA,No,Unf,0,Unf,0,741,741,0,0,2,1,3,1,Gd,7,Attchd,1985.0,Fin,2,476,TA,TA,178000
103,,,,,0,,0,0,0,0,0,2,0,4,2,TA,8,Attchd,1979.0,Unf,2,410,TA,TA,118964
104,Gd,TA,No,Unf,0,Unf,0,1226,1226,0,0,2,0,3,1,Gd,6,Attchd,2009.0,RFn,3,740,TA,TA,198900
105,TA,TA,No,LwQ,224,Unf,0,816,1040,0,0,1,1,4,1,TA,7,Detchd,1951.0,Unf,1,240,TA,TA,169500
106,Ex,TA,No,Unf,0,Unf,0,1053,1053,0,0,2,1,3,1,Gd,9,Attchd,2003.0,RFn,2,648,TA,TA,250000
107,Fa,TA,No,Unf,0,Unf,0,641,641,0,0,1,0,2,1,TA,6,Detchd,1954.0,Unf,1,273,Fa,Fa,100000
108,TA,TA,No,ALQ,104,BLQ,169,516,789,0,0,1,0,2,1,TA,5,Detchd,1948.0,Unf,1,250,TA,TA,115000
109,TA,TA,No,Unf,0,Unf,0,793,793,0,0,2,0,3,1,Fa,7,,,,0,0,,,115000
110,Gd,TA,No,BLQ,705,Unf,0,1139,1844,0,0,2,0,3,1,TA,7,Attchd,1977.0,RFn,2,546,TA,TA,190000
111,TA,Fa,No,Rec,444,Unf,0,550,994,0,0,2,0,4,1,TA,7,Attchd,1954.0,Unf,1,325,TA,TA,136900
112,Gd,TA,No,GLQ,250,Unf,0,134,384,0,0,2,1,3,1,TA,7,BuiltIn,2000.0,Fin,2,400,TA,TA,180000
113,Ex,TA,Av,GLQ,984,Unf,0,280,1264,1,0,2,1,4,1,Ex,10,BuiltIn,2007.0,Fin,3,792,TA,TA,383970
114,Gd,TA,Mn,ALQ,35,Rec,869,905,1809,1,0,2,0,3,1,Gd,7,Basment,1953.0,Unf,2,450,TA,TA,217000
115,TA,TA,No,ALQ,774,LwQ,150,104,1028,1,0,2,1,3,1,Gd,9,Detchd,1945.0,Unf,1,180,TA,TA,259500
116,Gd,TA,No,GLQ,419,Unf,0,310,729,0,0,2,1,2,1,TA,5,Detchd,1999.0,Unf,2,440,TA,TA,176000
117,TA,TA,No,LwQ,170,BLQ,670,252,1092,0,1,1,0,3,1,TA,6,Attchd,1962.0,Unf,1,288,TA,TA,139000
118,Gd,TA,No,Unf,0,Unf,0,1125,1125,0,0,1,1,2,1,TA,5,Attchd,2007.0,Unf,2,430,TA,TA,155000
119,Gd,TA,Mn,GLQ,1470,Unf,0,203,1673,1,0,3,0,5,1,Gd,11,Attchd,1990.0,Unf,3,594,TA,TA,320000
120,Gd,TA,No,Unf,0,Unf,0,728,728,0,0,2,1,3,1,Gd,8,Attchd,2005.0,Fin,2,390,TA,TA,163990
121,TA,TA,Gd,ALQ,938,Unf,0,0,938,1,0,1,0,1,1,TA,4,Attchd,1969.0,Unf,2,540,TA,TA,180000
122,TA,TA,No,Unf,0,Unf,0,732,732,0,0,1,0,3,1,TA,4,Detchd,1979.0,Unf,1,264,TA,TA,100000
123,TA,TA,No,BLQ,570,Unf,0,510,1080,0,0,1,0,3,1,TA,5,Attchd,1958.0,Unf,1,288,TA,TA,136000
124,Gd,TA,No,GLQ,300,Unf,0,899,1199,0,0,2,0,2,1,Gd,5,Attchd,1993.0,RFn,2,530,TA,TA,153900
125,Gd,Fa,No,Unf,0,Unf,0,1362,1362,0,0,2,0,3,1,TA,7,Attchd,1979.0,Unf,2,435,TA,TA,181000
126,TA,TA,Av,GLQ,490,Unf,0,30,520,1,0,1,0,2,1,TA,5,,,,0,0,,,84500
127,Gd,TA,No,ALQ,120,Unf,0,958,1078,0,0,2,0,2,1,TA,5,Attchd,1977.0,RFn,2,440,TA,TA,128000
128,TA,TA,No,LwQ,116,Unf,0,556,672,0,0,1,0,3,1,TA,5,,,,0,0,,,87000
129,TA,TA,No,BLQ,512,Unf,0,148,660,0,0,1,1,3,1,TA,6,Attchd,1966.0,RFn,2,453,TA,TA,155000
130,TA,TA,No,Rec,567,BLQ,28,413,1008,0,1,1,1,3,1,Ex,6,2Types,1998.0,RFn,2,750,TA,TA,150000
131,TA,TA,No,Rec,445,Unf,0,479,924,0,0,2,1,4,1,Gd,8,Attchd,1966.0,Fin,2,487,TA,TA,226000
132,Gd,TA,No,GLQ,695,Unf,0,297,992,1,0,2,1,3,1,Gd,7,BuiltIn,2000.0,RFn,2,390,TA,TA,244000
133,TA,TA,No,Rec,405,Unf,0,658,1063,1,0,1,0,3,1,Gd,7,Detchd,1974.0,Unf,2,624,TA,TA,150750
134,Ex,TA,No,GLQ,1005,Unf,0,262,1267,1,0,2,0,2,1,Gd,6,Attchd,2001.0,Fin,2,471,TA,TA,220000
135,TA,TA,No,Rec,570,Unf,0,891,1461,0,0,2,1,3,1,TA,7,Attchd,1968.0,RFn,2,440,TA,TA,180000
136,TA,TA,No,Unf,0,Unf,0,1304,1304,0,0,2,0,3,1,TA,7,Attchd,1970.0,Unf,2,530,TA,TA,174000
137,TA,TA,No,BLQ,695,Unf,0,519,1214,0,0,2,0,3,1,TA,5,Attchd,1967.0,RFn,1,318,TA,TA,143000
138,TA,TA,No,Unf,0,Unf,0,1907,1907,0,0,3,0,5,2,TA,9,2Types,1989.0,Unf,3,766,TA,TA,171000
139,Gd,TA,Mn,GLQ,668,Unf,0,336,1004,0,0,2,1,3,1,Gd,7,Attchd,1999.0,Fin,3,660,TA,TA,230000
140,Gd,TA,No,GLQ,821,Unf,0,107,928,1,0,2,1,3,1,Gd,7,Attchd,1997.0,RFn,2,470,TA,TA,231500
141,TA,TA,No,ALQ,432,Unf,0,432,864,0,0,1,0,3,1,TA,5,,,,0,0,,,115000
142,Gd,TA,Av,GLQ,1300,Unf,0,434,1734,1,0,2,0,3,1,Gd,7,Attchd,2005.0,Fin,2,660,TA,TA,260000
143,TA,TA,No,Rec,507,Unf,0,403,910,0,0,2,0,4,1,TA,6,Detchd,2000.0,Unf,2,720,TA,TA,166000
144,Gd,TA,Gd,GLQ,679,Unf,0,811,1490,1,0,2,0,3,1,Gd,6,Attchd,1999.0,RFn,2,577,TA,TA,204000
145,TA,TA,No,Rec,1332,Unf,0,396,1728,1,0,2,0,6,2,TA,10,Detchd,1963.0,Unf,2,504,TA,TA,125000
146,Gd,TA,No,Unf,0,Unf,0,970,970,0,0,2,0,3,1,Gd,7,Detchd,2004.0,Unf,2,380,TA,TA,130000
147,TA,TA,No,BLQ,209,Unf,0,506,715,1,0,1,0,2,1,TA,5,Detchd,1931.0,Unf,1,180,Fa,TA,105000
148,Gd,TA,No,Unf,0,Unf,0,884,884,0,0,2,1,3,1,Gd,8,BuiltIn,2001.0,Fin,2,434,TA,TA,222500
149,Gd,TA,No,GLQ,680,Unf,0,400,1080,1,0,1,0,3,1,Gd,6,,,,0,0,,,141000
150,Gd,TA,No,Unf,0,Unf,0,896,896,0,0,1,0,3,1,TA,7,Detchd,1936.0,Unf,1,240,Fa,TA,115000
151,TA,TA,Av,BLQ,716,Unf,0,253,969,0,0,1,1,3,1,TA,5,Attchd,1975.0,Unf,2,440,TA,TA,122000
152,Ex,TA,Gd,GLQ,1400,Unf,0,310,1710,1,0,2,0,2,1,Gd,6,Attchd,2007.0,RFn,3,866,TA,TA,372402
153,TA,TA,No,Rec,416,Unf,0,409,825,0,0,2,1,4,1,TA,8,Attchd,1971.0,RFn,2,495,TA,TA,190000
154,Gd,TA,Gd,BLQ,429,ALQ,1080,93,1602,1,0,1,0,1,1,TA,4,Attchd,1960.0,RFn,2,564,TA,TA,235000
155,TA,TA,No,Unf,0,Unf,0,1200,1200,0,0,1,0,4,1,TA,7,Detchd,1923.0,Unf,1,312,Fa,Fa,125000
156,TA,TA,No,Unf,0,Unf,0,572,572,0,0,1,0,2,1,TA,5,,,,0,0,,,79000
157,,,,,0,,0,0,0,0,0,1,0,2,1,TA,5,Detchd,1950.0,Unf,2,625,TA,TA,109500
158,Ex,TA,No,Unf,0,Unf,0,774,774,0,0,2,1,4,1,Ex,8,BuiltIn,2009.0,Fin,3,680,TA,TA,269500
159,Gd,TA,No,GLQ,222,Unf,0,769,991,0,0,2,1,3,1,Gd,8,Attchd,2004.0,RFn,2,678,TA,TA,254900
160,Gd,TA,Mn,GLQ,57,Unf,0,1335,1392,1,0,2,1,4,1,Gd,9,Attchd,2006.0,RFn,2,576,TA,TA,320000
161,Gd,TA,No,BLQ,660,Unf,0,572,1232,0,0,2,0,3,1,TA,6,Attchd,1984.0,Unf,2,516,TA,TA,162500
162,Ex,TA,Av,GLQ,1016,Unf,0,556,1572,1,0,2,1,3,1,Ex,10,BuiltIn,2003.0,Fin,3,726,TA,TA,412500
163,Gd,TA,Mn,BLQ,1201,Unf,0,340,1541,0,0,2,0,3,1,Gd,7,Attchd,2005.0,RFn,2,532,TA,TA,220000
164,TA,TA,No,Unf,0,Unf,0,882,882,0,0,1,0,1,1,TA,4,,,,0,0,,,103200
165,TA,TA,Mn,LwQ,370,Unf,0,779,1149,0,0,2,0,3,1,Gd,5,Detchd,1926.0,Unf,1,216,TA,TA,152000
166,TA,TA,No,ALQ,351,Rec,181,112,644,1,0,2,0,4,2,TA,6,,,,0,0,,,127500
167,TA,TA,No,LwQ,379,BLQ,768,470,1617,1,0,1,0,2,1,TA,7,Attchd,1955.0,Fin,1,303,TA,TA,190000
168,Ex,TA,No,GLQ,1288,Unf,0,294,1582,1,0,1,1,3,1,Ex,8,Attchd,2007.0,Fin,3,789,TA,TA,325624
169,Gd,TA,No,Unf,0,Unf,0,840,840,0,0,2,1,3,1,Gd,7,Attchd,2004.0,Fin,2,440,TA,TA,183500
170,Gd,TA,No,Unf,0,Unf,0,1686,1686,0,0,2,1,2,1,TA,6,Attchd,1981.0,RFn,2,511,TA,TA,228000
171,TA,TA,No,Rec,360,Unf,0,360,720,0,0,1,1,2,1,TA,7,Detchd,1991.0,Unf,2,660,TA,TA,128500
172,TA,Gd,Gd,BLQ,639,Unf,0,441,1080,1,0,1,0,3,1,TA,7,Attchd,1960.0,Fin,2,528,TA,TA,215000
173,Gd,Gd,No,GLQ,495,Rec,215,354,1064,1,0,2,0,2,1,Gd,5,Attchd,1987.0,RFn,2,504,Gd,TA,239000
174,TA,TA,No,ALQ,288,Rec,374,700,1362,1,0,1,1,3,1,TA,6,Attchd,1961.0,Unf,2,504,TA,TA,163000
175,Gd,Fa,No,ALQ,1398,LwQ,208,0,1606,1,0,2,0,3,1,TA,7,Attchd,1986.0,Fin,2,616,TA,TA,184000
176,TA,Gd,Av,ALQ,477,Unf,0,725,1202,1,0,2,0,4,1,Gd,7,Attchd,1950.0,Unf,2,576,TA,TA,243000
177,Gd,TA,No,GLQ,831,Unf,0,320,1151,0,1,2,1,4,1,TA,8,Attchd,1988.0,Unf,2,521,TA,TA,211000
178,TA,TA,No,ALQ,57,BLQ,441,554,1052,1,0,2,0,4,1,Gd,8,Attchd,1958.0,Unf,2,451,TA,TA,172500
179,Ex,TA,No,GLQ,1904,Unf,0,312,2216,1,0,2,0,1,1,Ex,9,Attchd,2009.0,Fin,3,1166,TA,TA,501837
180,TA,TA,No,Unf,0,Unf,0,968,968,0,0,1,0,2,1,TA,5,Detchd,1935.0,Unf,2,480,Fa,TA,100000
181,Gd,TA,No,GLQ,436,Unf,0,320,756,0,0,2,1,3,1,Gd,5,Detchd,2000.0,Unf,2,440,TA,TA,177000
182,Fa,TA,No,LwQ,352,Unf,0,441,793,0,0,1,1,4,1,TA,9,Detchd,1920.0,Unf,1,216,Fa,TA,200100
183,,,,,0,,0,0,0,0,0,1,0,3,1,TA,7,Attchd,1957.0,RFn,1,252,TA,TA,120000
184,Gd,TA,No,Unf,0,Unf,0,1362,1362,0,0,2,1,3,1,Gd,6,Detchd,2003.0,Unf,2,484,TA,TA,200000
185,Fa,TA,No,Unf,0,Unf,0,504,504,0,0,1,0,3,1,TA,5,Attchd,1986.0,Unf,2,576,TA,TA,127000
186,TA,TA,Mn,Unf,0,Unf,0,1107,1107,0,0,2,1,4,1,Ex,12,Detchd,1993.0,Unf,3,840,Ex,TA,475000
187,Gd,TA,Av,GLQ,611,Unf,0,577,1188,1,0,2,0,3,1,Gd,6,Attchd,1990.0,Unf,2,497,TA,TA,173000
188,Fa,TA,No,Unf,0,Unf,0,660,660,0,0,2,1,3,1,TA,8,Detchd,1916.0,Unf,1,180,Fa,Fa,135000
189,Gd,TA,Av,GLQ,1086,Unf,0,0,1086,2,0,0,2,2,2,TA,6,Detchd,1979.0,Unf,2,528,TA,TA,153337
